S.NO,QUESTIONS,ANSWERS,LINKS
11,Does this mean you will be running fewer promotions?,"All products that are part of Everyday Savers will have low prices everyday, so there is no need to wait for promotion to get great value. We’re committed to providing customers with the best choice, quality and value. This means you’ll find a combination of low prices and exciting promotions across the full range of products we sell.",https://help.ocado.com/hc/en-us/articles/7994620756124-Does-this-mean-you-will-be-running-fewer-promotions-
12,Why are some of the Christmas items out of stock?,"Some of our Christmas products are only available for delivery over specific periods in the lead-up to Christmas. So, you’ll only see them as in stock if you’re adding to or editing a Christmas order, or adding to a non-Christmas order, in late November/early December.",https://help.ocado.com/hc/en-us/articles/10210600519964-Why-are-some-of-the-Christmas-items-out-of-stock-
13,"I can see the Christmas shop is open, how do I book a slot?","As soon as you’re able to book a slot, you’ll receive an email or SMS and see a star for Christmas slots next to ‘Book a Delivery’. You can then book your delivery slot, build your basket with a minimum spend of £90 and check out as normal.",https://help.ocado.com/hc/en-us/articles/10210623882780-I-can-see-the-Christmas-shop-is-open-how-do-I-book-a-slot-
14,When are you going to let me know when I can book a slot?,"Our Christmas orders get filled up fast, so we recommend getting your slot booked in quickly. Once you’re able to book a slot, you'll also see a star next to ‘Book a Delivery' (which you must be logged in to see).",https://help.ocado.com/hc/en-us/articles/10210607153436-When-are-you-going-to-let-me-know-when-I-can-book-a-slot-
15,What are New Low Prices?,"We've reduced the price on lots of products, to make sure you save on big brands and more. ""New Low Price"" identifies any products we've recently lowered the price of. Even better, we are constantly adding to this list, so you can keep saving.",https://help.ocado.com/hc/en-us/articles/4415465329298-What-are-New-Low-Prices-
16,Does this mean you will be running fewer promotions?,New Low Prices do not affect promotions.,https://help.ocado.com/hc/en-us/articles/4415465376018-Does-this-mean-you-will-be-running-fewer-promotions-
17,"How long will these products be marked with ""New Low Price""?",When we lower the price of a product we will highlight it for up to 12 weeks,https://help.ocado.com/hc/en-us/articles/4415448157714-How-long-will-these-products-be-marked-with-New-Low-Price-
18,How do I know if a product is included?,"Wherever you see a product labelled ""New Low Price"" in red text, it means we have recently lowered its price. After a period of time (after around 12 weeks) we'll remove the label unless we lower the price again.",https://help.ocado.com/hc/en-us/articles/4415465338386-How-do-I-know-if-a-product-is-included-
19,What is Smart Pass and what are the benefits? ,"With our Smart Pass, you will:Wave goodbye to delivery charges. The only exception is Christmas week (20th–24th December), when Smart Pass delivery benefits are suspended.Get priority access to Christmas deliveries. We can’t guarantee you a Christmas delivery slot but, if you’re a Smart Pass member and you sign up before 1st of September, we’ll give you access to them before anybody else.Get discounts and exclusive offers. You’ll always save at least 10% on big brands, plus you’ll have the chance to save even more in exclusive clearance sales – we'll keep you posted by email.Get samples, gifts, and more. You’ll be at the front of the queue for product samples and more. We sometimes give out anniversary gifts so make sure you keep an eye on your inbox during your Ocado anniversary month (the month you joined).What are my payment options? You can choose to pay monthly, six-monthly, or annually.",https://help.ocado.com/hc/en-us/articles/360018221932-What-is-Smart-Pass-and-what-are-the-benefits-
20,What Smart Pass schemes are available? ,"There are three Anytime Smart Pass options available. You can sign up for a plan that runs monthly for £8.99, every six months for £49.99 or annually for £89.99. These plans will have no delivery charges, seven days a week.Alternatively, you can sign up for a Midweek plan which gives you Smart Pass access with no delivery charges from Tuesday to Thursday. These plans run monthly for £3.99, every six months for £22.49 or annually for £39.99.Want to make big savings on regular Ocado deliveries? Sign up here!Any of these schemes will give you access to exclusive discounts and priority booking for the busy Christmas period.",https://help.ocado.com/hc/en-us/articles/360018401797-What-Smart-Pass-schemes-are-available-
21,How can I compare my shop against Tesco online?,"We can help with that. If you get in touch with our Customer Hub, we'll happily provide you with a comparison of your shop. ",https://help.ocado.com/hc/en-us/articles/10385365306268-How-can-I-compare-my-shop-against-Tesco-online-
22,Why do the products which qualify for the Ocado Price Promise vary?,"Qualifying products will vary depending on whether or not Tesco stocks the item. If an item is no longer available on tesco.com or the pack size changes, it will be removed from Ocado's Price Promise (as there will be nothing to compare it against).",https://help.ocado.com/hc/en-us/articles/8757705413660-Why-do-the-products-which-qualify-for-the-Ocado-Price-Promise-vary-
23,What is your Ocado Price Promise?,"Every time you place an order, we check the combined price of all like-for-like products you’ve had delivered against what you would have paid for an equivalent order at tesco.com, including promotions and Clubcard prices. You’ll find over 10,000 products included in our Price Promise.If the total price of the qualifying products in your shop was the same price or cheaper than it would have been at tesco.com, we’ll send you an email to let you know how much you saved. If we weren’t already cheaper, we’ll email you a money-off voucher for the difference within 72 hours of your delivery.",https://help.ocado.com/hc/en-us/articles/7722119580956-What-is-your-Ocado-Price-Promise-
24,Is there a maximum voucher amount?,"Yes there is. You will receive a voucher with the price difference, up to the maximum value of £10. Naturally your voucher amount will depend on how much you've spent on your shopping. ",https://help.ocado.com/hc/en-us/articles/7916689400348-Is-there-a-maximum-voucher-amount-
25,What products are included in the Ocado Price Promise?,"The Ocado Price Promise includes over 10,000 products, from branded favourites to Ocado Own Range essentials. Just look out for the red value symbol when you shop.",https://help.ocado.com/hc/en-us/articles/7722191650460-What-products-are-included-in-the-Ocado-Price-Promise-
26,Does Ocado Price Promise replace any other initiatives?,"Absolutely not. We’ve created Ocado Price Promise to sit alongside all our other great value benefits. You can continue to get low prices on essentials with Everyday Savers, enjoy nights in for less with a whole host of Meal Deals, and get the Ocado quality you know and love for less with our Ocado Own Range. In short, we’re committed to bringing you great value every time you shop. ",https://help.ocado.com/hc/en-us/articles/7722378581404-Does-Ocado-Price-Promise-replace-any-other-initiatives-
27,What’s happening to Everyday Savers? ,"We will continue to offer low prices on your most-loved everyday essentials with Everyday Savers, including branded and Ocado Own Range products. We will continue to monitor the prices of these products against competitors to ensure we consistently deliver good value. ",https://help.ocado.com/hc/en-us/articles/7722449170204-What-s-happening-to-Everyday-Savers-
28,When will I get my voucher?,"We’ll aim to send all Ocado Price Promise vouchers within 72 hours of a shop being delivered.If you want to receive specific notifications about your shop and Ocado Price Promise (including any vouchers you may be eligible for), sign up for marketing communications.",https://help.ocado.com/hc/en-us/articles/7722279446172-When-will-I-get-my-voucher-
29,Can I redeem multiple vouchers against one order?,Absolutely. You can add multiple valid Price Promise vouchers to an order.,https://help.ocado.com/hc/en-us/articles/7722390937244-Can-I-redeem-multiple-vouchers-against-one-order-
30,How long will vouchers be valid for?,Ocado Price Promise vouchers will be valid for deliveries within 21 days from the date you receive your voucher.,https://help.ocado.com/hc/en-us/articles/7722381847068-How-long-will-vouchers-be-valid-for-
31,Do I have to spend a certain amount to qualify for a voucher?,"No, just our usual £40 minimum spend.",https://help.ocado.com/hc/en-us/articles/7722438303644-Do-I-have-to-spend-a-certain-amount-to-qualify-for-a-voucher-
32,Why have you created the Ocado Price Promise now?,"Now more than ever, we know that everyone needs good value in every shop. We're focused on investing to keep our prices competitive, so you can feel confident you can continue to shop for your favourite products, knowing you’re getting good value alongside the choice and reliable Ocado service you trust.",https://help.ocado.com/hc/en-us/articles/7722236158492-Why-have-you-created-the-Ocado-Price-Promise-now-
33,Do I have to opt in to marketing communications to get Ocado Price Promise vouchers?,"Yes you do. Vouchers are considered legally to be marketing communications, so can only be sent if you’ve agreed to receive marketing emails from us.",https://help.ocado.com/hc/en-us/articles/7916745590044-Do-I-have-to-opt-in-to-marketing-communications-to-get-Ocado-Price-Promise-vouchers-
34,Why do I have to opt in to marketing comms to get my vouchers?,"We’d love to be able to automatically send you your vouchers, but vouchers are - legally speaking - considered to be marketing communications. That means you need to make sure you’re opted in to marketing communications to receive any Ocado Price Promise emails, including money-off vouchers. To do this simply go to My Ocado > Account Settings > Marketing Preferences and untick the ‘Electronic mail’ box in the top drop-down banner. It’s the one labeled ‘Offers, gifts and other marketing promotions of our goods and services.’",https://help.ocado.com/hc/en-us/articles/7916760012956-Why-do-I-have-to-opt-in-to-marketing-comms-to-get-my-vouchers-
35,How do I opt in to marketing communications?,"Simply go to My Ocado > Account Settings > Marketing Preferences and untick the ‘Electronic mail’ box in the top drop-down banner. It’s the one labeled ‘Offers, gifts and other marketing promotions of our goods and services.’",https://help.ocado.com/hc/en-us/articles/7916769739420-How-do-I-opt-in-to-marketing-communications-
36,Are M&S products included in the Ocado Price Promise?,"We can only include like-for-like products, meaning equivalent products you’d find at tesco.com. As Ocado is the only online supermarket to deliver M&S products to your doorstep, they aren’t included in the Price Promise.",https://help.ocado.com/hc/en-us/articles/7722450925468-Are-M-S-products-included-in-the-Ocado-Price-Promise-
37,Is this similar to your old Low Price Promise?,"While we have run price comparisons in the past, our Ocado Price Promise is a new initiative. We know great value is important now more than ever, so we wanted to refresh our approach and offer something new.",https://help.ocado.com/hc/en-us/articles/7722444537244-Is-this-similar-to-your-old-Low-Price-Promise-
38,Why is my voucher only 10p when I know that some of the products I bought would have been cheaper at Tesco?,"Once your order has been delivered, we add together all the eligible, like-for-like products in your order and compare the total price against what it would have cost from tesco.com, including promotions and Clubcard prices. Prices on individual products may vary a little, but the combined price of your like-for-like shop will always be checked, and if it did cost you more from Ocado, we will send you a voucher for the difference.",https://help.ocado.com/hc/en-us/articles/7722392469916-Why-is-my-voucher-only-10p-when-I-know-that-some-of-the-products-I-bought-would-have-been-cheaper-at-Tesco-
39,How do I  know you’re matching the prices accurately?,"We have a dedicated team monitoring the prices of like-for-like shopping from ocado.com and tesco.com on a daily basis. So, when the combined price of your like-for-like shop is checked, you can rest assured it’s being checked against up-to-date prices, including promotions and Clubcard prices.",https://help.ocado.com/hc/en-us/articles/7722380491036-How-do-I-know-you-re-matching-the-prices-accurately-
40,Why aren’t you comparing to Tesco prices as I check out?,"We take the total price of your like-for-like shopping and compare it to the total price it would have cost from tesco.com. Because you can edit an order up until the day before your delivery is due, it’s best to do our price check after your shopping has been delivered, as that’s when you actually pay for your shopping. Then, if we weren’t already cheaper, we’ll send you a voucher for the difference.   On top of that, we want to make sure that we have the most up-to-date prices, promotions and Clubcard deals from tesco.com, so that we can compare your shopping accurately against it at the time of your delivery.",https://help.ocado.com/hc/en-us/articles/7722277655836-Why-aren-t-you-comparing-to-Tesco-prices-as-I-check-out-
41,Can I switch to another scheme? ,"Yes! Both Midweek and Anytime customers can switch to different schemes. To do so, simply fill in the Contact Us form with ‘I’d like to change my membership’. Then, select the scheme you wish to take part in.",https://help.ocado.com/hc/en-us/articles/360018548898-Can-I-switch-to-another-scheme-
42,My Smart Pass membership is coming to an end. How do I renew? ,"We’ll automatically renew your Smart Pass when the current membership ends. Don’t worry, we’ll send you a renewal email with up-to-date information before we take any payment.If you wish to cancel your Smart Pass, please get in contact with us, here. This will allow us to prioritise your query and deal with it as quickly as possible. ",https://help.ocado.com/hc/en-us/articles/360018130811-My-Smart-Pass-membership-is-coming-to-an-end-How-do-I-renew-
43,What do I do if I want to cancel my membership? ,"You have the option to cancel your Smart Pass membership at any time.Please get in touch with us via the Contact Us form, so we're able to prioritise your query and deal with it as quickly as possible. When prompted, select 'Reason for Contact' then 'About Smart Pass' and choose 'I'd like to cancel my Smart Pass' from the drop-down menu. Please let us know the reason you'd like to cancel your Smart Pass in the, 'Your message' section, we'd really appreciate your feedback.",https://help.ocado.com/hc/en-us/articles/360018547458-What-do-I-do-if-I-want-to-cancel-my-membership-
44,What's included in the Smart Pass discount on branded products? ,"You’ll save at least 10% on a huge range of your favourite brands – from fresh and frozen groceries to pet food, baby supplies and household essentials. Plus, we'll show you how much you’ve saved on your receipt.You can browse the whole range of products included in the Smart Pass discount by heading straight for the Smart Pass tab at the top of the homepage, or simply look out for the Smart Pass arrow or tab as you shop. You can also search directly for ‘Smart Pass’ in the search bar.",https://help.ocado.com/hc/en-us/articles/360017848932-What-s-included-in-the-Smart-Pass-discount-on-branded-products-
45,The payment has failed for my Smart Pass ,"You can log into your account and re-submit the payment by following the below steps:When you log in you’ll be greeted with a message advising your payment has been unsuccessful.Click ‘Update payment details’.You’ll see a screen to choose which payment method you’d like to use.Choose your card or PayPal account (or add a new method), then click ‘Submit’.We’ll now try to take payment again, which can take 24 hours to process.Please note: adding a new payment method to your ‘Stored payment details’ won’t automatically clear the outstanding payment, so please use the method above.Still having trouble? Please get in contact with us, here. ",https://help.ocado.com/hc/en-us/articles/360009892438-The-payment-has-failed-for-my-Smart-Pass
46,Are Christmas deliveries included in Smart Pass? ,"Delivery charges apply during Christmas week (20th–24th December). Although, we don't guarantee all Smart Pass customers will be able to book a Christmas slot. If you sign-up before 1st of September we'll make sure you get priority access ahead of general release.Some customers who signed up for an Ocado Delivery Pass before 2009 were entitled to a free delivery at Christmas. If you’re one of them, you’ll continue to get your free slot.",https://help.ocado.com/hc/en-us/articles/360018130331-Are-Christmas-deliveries-included-in-Smart-Pass-
47,Do non-Smart Pass customers receive free gifts and samples? ,"Yes, but customers with a Smart Pass are at the front of the queue. We have a limited stock of samples and free gifts, which will always go to Smart Pass members first.",https://help.ocado.com/hc/en-us/articles/360017848972-Do-non-Smart-Pass-customers-receive-free-gifts-and-samples-
48,Will Smart Pass change the way you use my personal information? ,"Smart Pass membership won’t change the way we look after your personal information or shopping data. To learn more about how we keep your information secure, see our Privacy & Cookie Policy here.",https://help.ocado.com/hc/en-us/articles/360018130411-Will-Smart-Pass-change-the-way-you-use-my-personal-information-
49,Manage my Smart Pass,"To manage your Smart Pass membership, you'll need to get in touch with us, here. This will allow us to prioritise your query and deal with it as quickly as possible. On the Contact Form, simple select 'About Smart Pass' then choose to change or cancel your membership. ",https://help.ocado.com/hc/en-us/articles/360007149938-Manage-my-Smart-Pass
50,How to edit an Ocado order from our app,[VIDEO]  We all know the feeling of arriving home from the supermarket only to realise you’ve forgotten something. This is a problem that you shouldn’t have if you’re shopping with Ocado - unless your order is arriving very soon.Watch our Youtube video to see how you can edit your order from our app.,https://help.ocado.com/hc/en-us/articles/4405244625810-How-to-edit-an-Ocado-order-from-our-app
51,What is Price Lock?,"We're locking in great prices on a long list of groceries. Products labelled as ""Price Lock"" will not change in price for at least 8 weeks from the date they are labelled.",https://help.ocado.com/hc/en-us/articles/4415440654098-What-is-Price-Lock-
52,Does Price Lock affect my Smart Pass discount?,"No, Price Lock does not affect your Smart Pass discount.",https://help.ocado.com/hc/en-us/articles/4415440707474-Does-Price-Lock-affect-my-Smart-Pass-discount-
53,How long will products remain part of Price Lock?,"When we lock the price we will use our ""Price Lock"" label and keep it locked for at least 8 weeks.",https://help.ocado.com/hc/en-us/articles/4415440701970-How-long-will-products-remain-part-of-Price-Lock-
54,How does Ocado set the price for a product in Price Lock?,We’re committed to offering great quality at fair prices. We regularly monitor the prices of these items to make sure when we lock in the price we are offering great value.,https://help.ocado.com/hc/en-us/articles/4415440685458-How-does-Ocado-set-the-price-for-a-product-in-Price-Lock-
55,How do I know if a product is included in Price Lock?,"Any product included will show the words ""Price Lock"" in red text label. This label will be easy to spot as you shop.",https://help.ocado.com/hc/en-us/articles/4415465279634-How-do-I-know-if-a-product-is-included-in-Price-Lock-
56,What happens if something I've ordered has to be substituted?,"We always aim to get your shop to you exactly as you’ve ordered it, when this doesn’t happen, we try to match anything that’s out of stock with the closest items possible.If you receive any substitutions, we always let you know in your receipt email and SMS (if you’re opted in). Your driver will ask you first if you are happy with them and, if not, you can let them know before you pick up the shopping. They’ll take them back and you won’t be charged for those products.If there isn't a chance for you to return any substituted products on the doorstep, you’ll be able to request a refund on any substitutes you did not want – just follow the usual refund process.Need help requesting a refund? Please read our FAQ, How do I request a refund? Items aren't available for delivery but no substitution has been offered, why is this?We work very hard to fulfil all your orders and minimise any unavailable items. On very rare occasions, due to a last-minute operational issue or an unexpected supplier issue, items might be unavailable for delivery. You will always be informed before your delivery and won't be charged for any items that we cannot deliver.",https://help.ocado.com/hc/en-us/articles/360030441932-What-happens-if-something-I-ve-ordered-has-to-be-substituted-
57,How do I change my delivery date/time?,"During checkout, you can choose to view different slots or you can select 'Change your delivery time' under the order info on the homepage of the website, or 'Change delivery' on your Orders page. Please note that slots are subject to availability so if you cannot find a suitable slot you may have to cancel the order if the original time will not work.If you're past your cut-off you can contact us, here. One of our friendly customer service team will see what we can do. No guarantees but we'll try our best!",https://help.ocado.com/hc/en-us/articles/4413299098770-How-do-I-change-my-delivery-date-time-
58,How to edit an Ocado order from your computer,[VIDEO] We all know the feeling of arriving home from the supermarket only to realise you’ve forgotten something. This is a problem that you shouldn’t have if you’re shopping with Ocado - unless your order is arriving very soon.Watch our Youtube video to see how you can edit your order on ocado.com.,https://help.ocado.com/hc/en-us/articles/4405241202322-How-to-edit-an-Ocado-order-from-your-computer
59,"If an item in my order is substituted, will the cost of my delivery change?","Whenever we substitute an item, we charge the price of the item that we are delivering and not the price of the original item that you ordered. We’ll always send you an email (and SMS if you are opted-in) informing you of any substitutions before you receive your delivery.You are welcome to ask your driver to take back any unwanted substitutions at the door. This means that you won’t be charged for them.",https://help.ocado.com/hc/en-us/articles/4404918315154-If-an-item-in-my-order-is-substituted-will-the-cost-of-my-delivery-change-
60,How do I change or edit an order or delivery?,"Making changes to an existing order is pretty easy.On our website:Find the order you want to change by clicking on My Orders, then 'Edit'. You can add products by shopping on our virtual shelves as usual or remove products by going to 'View trolley'. You can also change the delivery slot.If you've already placed items into your trolley, when you click 'Edit' you'll be asked if you want to add those items to the existing order or leave them in the trolley for a new order.On our app:You can find the order you want to change on the homepage. Tap the order and then select 'Edit order'.Alternatively, you can find the products you want to add and tap 'One Click” to add them to your trolley right awayRemember to check out again once you've finished editing. If you don't, the changes you made to your order won't be saved.You can edit an order as many times as you like until its cut-off time.To find out how to cancel your order, click here.  Still having trouble?Chat to one of our friendly customer service advisors, here - we're always happy to help! ",https://help.ocado.com/hc/en-us/articles/360017844811-How-do-I-change-or-edit-an-order-or-delivery-
61,What is Ocado Reserved?,"Ocado Reserved is a free service that allows you to choose a delivery time that works for you. Once you’ve found your perfect slot, we'll attempt to automatically book the same one for you every week (or two weeks, whichever you prefer), placing a suggested order based on what you'd usually buy in advance of your delivery, giving you plenty of time to edit your order as much as you like, up to your cut-off point. That means less searching the website for a slot, and the aisles for your shop!Your order will be confirmed and checked out 30 days before your reserved delivery day and time. However, as our slots are subject to availability, there may be occasions whereby your chosen slot is temporarily unavailable. If this occurs, you will be notified on your account that your order couldn't be placed. If you'd like to select an alternative delivery time, you can do this manually. Your next Reserved order will not be affected. Ocado Reserved does not operate during Christmas week (20th - 27th December), and restarts on December 28th, however, any PM orders on New Year's Eve be won't be automatically booked. If you would usually have a PM slot, you can book this the usual way. ",https://help.ocado.com/hc/en-us/articles/360019290118-What-is-Ocado-Reserved-
62,How do I sign up for Ocado Reserved? ,"It doesn’t take long to sign up; just go to the Ocado Reserved section on ocado.com and we’ll walk you through it. It’s as easy as tucking into your favourite box of chocolates. Simply select ‘Reserve your slot’, confirm the correct address and choose how frequently you’d like to book your deliveries (weekly or fortnightly). Then, select your preferred delivery slot by clicking 'Choose the day and time'. Please note: booking availability is dependent on area demand, therefore, some slots may be unavailable to select for Ocado Reserved deliveries. Once you’ve confirmed your payment method, you’ll receive this message to confirm that your Ocado Reserved membership has been set up:Capture_7.PNGYour first available Ocado Reserved slot will be in 30 days! After that, we’ll deliver your order whenever you choose. While bagging your favourite slot is a free service, you’ll still need to pay for your deliveries as normal.",https://help.ocado.com/hc/en-us/articles/360018129011-How-do-I-sign-up-for-Ocado-Reserved-
63,Is Ocado Reserved free to use? ,"Oh, yes. Ocado Reserved is an automatic system that books your deliveries in advance, so you can bag your favourite spot every week. You’ll still need to pay for your deliveries as normal.",https://help.ocado.com/hc/en-us/articles/360019415258-Is-Ocado-Reserved-free-to-use-
64,Can I change the date or time of my Ocado Reserved delivery? ,"You can – once your Reserved orders have been made, just update the date or time of a single delivery slot the usual way, under Orders and select, 'Change Delivery'. If you’d like to amend all future dates or times, you can do this in your Reserved Settings.",https://help.ocado.com/hc/en-us/articles/360019278157-Can-I-change-the-date-or-time-of-my-Ocado-Reserved-delivery-
65,Why does it take 30 days to place my first Ocado Reserved order? ,Orders are reserved 30 days in advance to ensure that we can book your chosen slot. Want a slot before then? No problem – you’ll just need to do this the usual way.,https://help.ocado.com/hc/en-us/articles/360019164357-Why-does-it-take-30-days-to-place-my-first-Ocado-Reserved-order-
66,"I’m going on holiday, can I pause Reserved? ","You certainly can!Under 'Easy Shopping', select Reserved, then scroll down to 'Settings' and click on ‘Add a holiday’. You can add your holiday dates to the calendar, pausing Ocado Reserved whenever you need to.",https://help.ocado.com/hc/en-us/articles/360029017691-I-m-going-on-holiday-can-I-pause-Reserved-
67,How do you work out what shopping to send me? ,"To create your Suggested Order we start by looking at the products you like to buy, how often you like to buy them and even how many of them you usually buy. We'll then use these to put together your order 4 weeks before your next Reserved slot, so you'll have more than enough time to make any changes.To fine-tune your order, follow the link to the Ocado Reserved section on Ocado.com and view your 'Your Suggested Order'. Simply, select what products we should always include; ones we should never include; and ones that you're happy for the system to add, based on your previous orders.If you already have future orders, changing the Suggested Order will not update these but you can still make edits the usual way.If you know there's a list of items you always need, you could also create a Shopping List then add this to your Reserved order each week rather than adding and removing items individually.Always read your order confirmation email! We send an email to you as soon as your order is processed. This will list all of the items that are expected with your delivery. You'll have more than enough time to make any changes before your cut-off time.Please note: Although a 'suggested shop' can be created for you after your first order, it will be much more accurate and effective after your third shop.",https://help.ocado.com/hc/en-us/articles/360018490811-How-do-you-work-out-what-shopping-to-send-me-
68,How do I edit my order before my Ocado Reserved delivery? ,"We'll create your 'Suggested Order' using items you've shopped with us before. The order will be available a week before your Reserved delivery, so you'll have more than enough time to make changes.You can also fine-tune how you'd like us to create your 'Suggested Order' by telling us what products we should always include; ones we should never include; and ones that you're happy for us to add sometimes, based on your previous orders. It really couldn't be easier, and you're in complete control. Simply sign in and go to the Ocado Reserved tab at the top of the page under 'Easy Shopping'. You'll see a 'Suggested Order' tab under your Ocado Reserved settings, click on it to start editing your product preferences.",https://help.ocado.com/hc/en-us/articles/360018129531-How-do-I-edit-my-order-before-my-Ocado-Reserved-delivery-
69,"I no longer want an item in my order, how do I stop it being added to every delivery? ","Under 'Easy Shopping', select Reserved, followed by 'Suggested Order', then select the item you no longer want. Here’s where it gets good: you can change the frequency of an item to ‘Never’, or set things up for an occasional delivery if you don’t always want it. And, if something is really important, ‘Always’ makes sure you get your favourite items in every shop.",https://help.ocado.com/hc/en-us/articles/360019290218-I-no-longer-want-an-item-in-my-order-how-do-I-stop-it-being-added-to-every-delivery-
70,How do I cancel Ocado Reserved? ,"Sign in and head to the Ocado Reserved section under 'Easy Shopping'. You'll find a 'Membership' tab under 'Settings'. Click on it, and select the 'Cancel Ocado Reserved' button. There's also a 'Pause Ocado Reserved' button above it, just in case you're going away or don't need regular delivery for a while.",https://help.ocado.com/hc/en-us/articles/360018129551-How-do-I-cancel-Ocado-Reserved-
71,About cut-off times,"Your confirmation email and the Orders page will show your cut-off time, and if that needs to change we'll let you know in advance by text and email.Please note: these may not update on the website straight away.The cut-off date and time is usually early evening the day before for morning deliveries and late evening for later deliveries. If you've missed your cut-off, please get in contact with us, here. We'll see what we can do, but unfortunately we won't be able to add any items to the order.Until your cut-off, you can edit your order as many times as you like, though we do encourage you to only add items you intend to keep. Just remember to check out your order each time so that your changes are saved.",https://help.ocado.com/hc/en-us/articles/4405898371602-About-cut-off-times
72,Where can I find the details of my order?,"Under the ‘My Ocado’ button, select Orders after signing in to your account. You can also find a ‘Your next delivery’ tab on the first homepage of our website and app. Follow either of these routes to view existing and previous order information. Need more help with your Ocado order? Please read the Orders section of our FAQs",https://help.ocado.com/hc/en-us/articles/360017558312-Where-can-I-find-the-details-of-my-order-
73,How do I cancel an order?,"On our website or app, go to Orders. Find the order you wish to cancel, and select 'Cancel order'.You can edit or cancel orders right up to their cut-off time, which is usually the day before the delivery is due. If you need to cancel an order after its cut-off time, please get in contact with us, here. This will allow us to prioritise your query and deal with it as quickly as possible.Please note: if you cancel after the cut-off time, you may be charged for the perishable items in your order.As a consumer, you have certain legal rights: regarding the return of goods that are faulty, damaged or not as described. Our refund policy does not affect your legal rights. Our returns policy is in accordance with statutory rights under the Consumer Contracts Regulations. For more information about these rights please contact your local authority Trading Standards Department or Citizens Advice. You can also refer to the Which? website. ",https://help.ocado.com/hc/en-us/articles/360017844971-How-do-I-cancel-an-order-
